Student_ID,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Total Score,Average Score,Percentage,Grade,Result,Attendance
1,female,group B,bachelor's degree,standard,none,72.0,72.0,74.0,218.0,72.66666666666667,72.66666666666667,B,Pass,64
2,female,group C,some college,standard,completed,69.0,90.0,88.0,247.0,82.33333333333333,82.33333333333334,A,Pass,87
3,female,group B,master's degree,standard,none,90.0,95.0,93.0,278.0,92.66666666666667,92.66666666666666,A+,Pass,98
4,male,group A,associate's degree,free/reduced,none,47.0,57.0,44.0,148.0,49.333333333333336,49.333333333333336,D,Pass,98
5,male,group C,some college,standard,none,76.0,78.0,75.0,229.0,76.33333333333333,76.33333333333333,B,Pass,68
6,female,group B,associate's degree,standard,none,66.08408408408408,83.0,78.0,227.08408408408408,75.69469469469469,75.6946946946947,B,Pass,94
7,female,group B,some college,standard,completed,88.0,95.0,92.0,275.0,91.66666666666667,91.66666666666666,A+,Pass,66
8,male,group B,some college,free/reduced,none,40.0,43.0,39.0,122.0,40.666666666666664,40.666666666666664,D,Pass,99
9,male,group D,high school,free/reduced,completed,64.0,64.0,67.0,195.0,65.0,65.0,C,Pass,88
10,female,group B,high school,free/reduced,none,38.0,60.0,50.0,148.0,49.333333333333336,49.333333333333336,D,Pass,90
11,male,group C,associate's degree,standard,none,58.0,54.0,52.0,164.0,54.666666666666664,54.666666666666664,D,Pass,60
12,male,group D,associate's degree,standard,none,40.0,52.0,43.0,135.0,45.0,45.0,D,Pass,74
13,female,group B,high school,standard,none,65.0,81.0,73.0,219.0,73.0,73.0,B,Pass,91
14,male,group A,some college,standard,completed,78.0,72.0,70.0,220.0,73.33333333333333,73.33333333333333,B,Pass,89
15,female,group A,master's degree,standard,none,50.0,53.0,58.0,161.0,53.666666666666664,53.666666666666664,D,Pass,68
16,female,group C,some high school,standard,none,69.0,69.16316316316316,78.0,216.16316316316318,72.0543877210544,72.0543877210544,B,Pass,66
17,male,group C,high school,standard,none,88.0,89.0,86.0,263.0,87.66666666666667,87.66666666666667,A,Pass,84
18,female,group B,some high school,free/reduced,none,18.0,32.0,28.0,78.0,26.0,26.0,D,Fail,83
19,male,group C,master's degree,free/reduced,completed,46.0,42.0,46.0,134.0,44.666666666666664,44.666666666666664,D,Pass,63
